game_id,label,source_class,source_username,engine_move_count,critical_positions_count,error_moves_count,time_complexity_corr,critical_time_lift,cpl_mean,cpl_median,cpl_std,post_error_time_ratio
LKYOlJC6,1,bot,maia1,94,19,13,-0.005581372862908533,1.0910566905696117,60.883720930232556,17.5,111.761001082215,
LXBAP6ZE,1,bot,simpleEval,46,10,5,0.23186446356880003,1.5136986301369864,42.608695652173914,22.5,60.141672689997996,1.9834905660377358
Lz5oMhGB,0,human,,76,15,7,0.13184979251697926,1.3339412360688956,44.5,11.5,112.18334520407417,5.774883720930233
M540gZiK,0,human,,114,23,12,-0.031641981092798525,0.7837094111172263,36.3421052631579,8.0,73.91315778542736,0.3387978142076503
MXEUbkdu,0,human,,57,11,12,0.2629119099224027,2.4274406332453826,64.81818181818181,30.0,89.3801057606508,6.757369614512472
MoZsQ6mh,0,human,,100,20,15,-0.017947296330266222,0.9293103448275861,51.04,19.0,81.30066666393333,0.6913986712916691
Mok5g0XC,1,bot,maia5,29,6,2,0.2590387982835598,2.237704918032787,40.0,20.0,48.252925585773625,1.1161616161616161
MqqeJMCl,0,human,,62,12,17,0.1306254522845252,1.0266990291262137,108.06451612903226,30.0,171.71007738737634,1.7882679625130162
MsZ8oU41,1,bot,Boris-Trapsky,61,12,15,0.06002054747607762,1.5435750636132313,61.74545454545454,37.0,70.54365977098365,1.4771583430120017
N12WkDUs,1,bot,simpleEval,72,14,11,0.07227554958329212,1.0681198910081744,50.088235294117645,31.5,60.10841560295511,3.9174937965260543
N4MtsNN1,1,bot,Boris-Trapsky,57,11,9,-0.011395008891149938,0.700291686922703,48.45614035087719,13.0,92.73941423970804,3.0425531914893615
N8R8aAnp,0,human,,42,8,6,0.08429579714300077,0.7894736842105263,46.142857142857146,18.5,66.74670365628248,3.92
NGU35vup,1,bot,maia1,64,13,8,0.12288002086608846,1.3267692307692307,58.333333333333336,32.0,89.33488804617276,3.019230769230769
NI1X6yla,0,human,,81,16,6,0.19801984282652654,1.3629807692307692,36.76712328767123,9.0,83.52417754273478,1.8820754716981132
NZtWqSf0,0,human,,50,11,13,-0.0468603169836531,0.7042993107975056,59.285714285714285,45.0,57.54749591176219,2.5238095238095237
Nut3mEt5,0,human,,36,7,1,0.2938371954521263,1.3829887218045112,15.583333333333334,1.5,39.08422173830367,
NyztgkmG,0,human,,62,12,3,0.07126554713040428,1.1599297012302285,29.870967741935484,12.5,50.292526178211176,2.3614285714285717
O8YHWV0P,1,bot,simpleEval,113,22,4,0.14759409259655717,1.4612262737262738,19.326732673267326,6.0,29.418492503963627,1.984033116499113
OI7Lnmv3,1,bot,maia5,65,13,6,0.11364545071618329,1.2969396195202647,29.135593220338983,11.0,42.471309409449276,1.1272141706924315
OKSzlM6Y,0,human,,88,17,4,-0.08834774533802466,0.8709677419354839,22.045454545454547,5.0,36.280131392875326,1.0880681818181819
OlE1rJJn,1,bot,maia9,33,7,2,-0.11226473431580662,0.5517241379310345,45.18181818181818,37.0,55.34435152008797,1.4615384615384615
Otr839jU,1,bot,maia9,111,22,16,0.024345667274010847,1.1687786960514235,50.88659793814433,22.0,75.96375645405868,3.608695652173913
P3vLtBni,0,human,,83,16,4,0.2168997034499545,1.4420062695924765,31.333333333333332,13.5,41.766214416279894,1.1535714285714287
